user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
samu3lk,Samuel K: Regular Elf,1063940763707457537,2018-11-17 23:43:39,/samu3lk/status/1063940763707457537,2,1,1,@Xfinity can you please offer service in my neighborhood? @Ask_Spectrum is completely fucking useless.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14996251"" dir=""ltr"" href=""/Xfinity""><s>@</s><b>Xfinity</b></a> can you please offer service in my neighborhood? <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19638927"" dir=""ltr"" href=""/Ask_Spectrum""><s>@</s><b>Ask_Spectrum</b></a> is completely fucking useless.</p>"
bseessel,Brad Seessel,1063935794321285125,2018-11-17 23:23:54,/bseessel/status/1063935794321285125,0,1,0,@comcast service window is a joke. 3-5 they say....now they are saying 6:30. Hope I didn’t make a mistake leaving @DIRECTV,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> service window is a joke. 3-5 they say....now they are saying 6:30. Hope I didn’t make a mistake leaving <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14946736"" dir=""ltr"" href=""/DIRECTV""><s>@</s><b>DIRECTV</b></a></p>"
RignarsR,RignarsRoom,1063935258008186883,2018-11-17 23:21:47,/RignarsR/status/1063935258008186883,1,1,0,@comcast we were lied to and I have the transcript to prove it,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> we were lied to and I have the transcript to prove it</p>"
csjk4,smith,1063934353326014465,2018-11-17 23:18:11,/csjk4/status/1063934353326014465,0,1,0,@Xfinity how come I cannot get the longhorn network?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14996251"" dir=""ltr"" href=""/Xfinity""><s>@</s><b>Xfinity</b></a> how come I cannot get the longhorn network?</p>"
mamasarm87,mamasarm,1063931576805875714,2018-11-17 23:07:09,/mamasarm87/status/1063931576805875714,0,1,0,@Xfinity what is the issue now?!  Internet intermittent AGAIN!  Constant issue now for 2 weeks what am I paying for?!!!!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14996251"" dir=""ltr"" href=""/Xfinity""><s>@</s><b>Xfinity</b></a> what is the issue now?!  Internet intermittent AGAIN!  Constant issue now for 2 weeks what am I paying for?!!!!!</p>"
MaruggiAlbert,F. Mallow,1063929562332086274,2018-11-17 22:59:09,/MaruggiAlbert/status/1063929562332086274,0,0,0,@Xfinity get your act together and make a deal with @ScottHanson and Red Zone. Unacceptable.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14996251"" dir=""ltr"" href=""/Xfinity""><s>@</s><b>Xfinity</b></a> get your act together and make a deal with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""39103342"" dir=""ltr"" href=""/ScottHanson""><s>@</s><b>ScottHanson</b></a> and Red Zone. Unacceptable.</p>"
NitendraRaghu,Nitendra Raghuwanshi,1063927600266076160,2018-11-17 22:51:21,/NitendraRaghu/status/1063927600266076160,0,1,0,@Xfinity please help with bill. Pathetic service and cheating.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14996251"" dir=""ltr"" href=""/Xfinity""><s>@</s><b>Xfinity</b></a> please help with bill. Pathetic service and cheating.</p>"
skitzodaboss,Skitzo da Boss,1063925817925881857,2018-11-17 22:44:16,/skitzodaboss/status/1063925817925881857,0,1,0,@comcast  comcast has the worst cost service called 10xs been dropped hung up on and they accidentally disconnected my cell service by far the worst company out there. I have asked for a supervisor 4xs and have been on hold over an hour,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a>  comcast has the worst cost service called 10xs been dropped hung up on and they accidentally disconnected my cell service by far the worst company out there. I have asked for a supervisor 4xs and have been on hold over an hour</p>"
I_LaceUp_30,T.J.  🏌🏻 ⛹🏻,1063925399741181952,2018-11-17 22:42:36,/I_LaceUp_30/status/1063925399741181952,0,1,0,@comcast Is tripping today,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> Is tripping today</p>"
prof_goldberg,Daniel Goldberg,1063923121743228933,2018-11-17 22:33:33,/prof_goldberg/status/1063923121743228933,0,1,0,"@comcast, your days are numbered in my household -- at 20, to be exact. Your prices are absurd, and your service is merely acceptable. Hello, Sling TV.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a>, your days are numbered in my household -- at 20, to be exact. Your prices are absurd, and your service is merely acceptable. Hello, Sling TV.</p>"
