user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
Tom90245725,Tom,1063943880616247297,2018-11-17 23:56:02,/Tom90245725/status/1063943880616247297,0,1,0,Appears to be resolved.  Thanks anyway,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Appears to be resolved.  Thanks anyway</p>"
Tom90245725,Tom,1063943562105040896,2018-11-17 23:54:46,/Tom90245725/status/1063943562105040896,0,1,0,appears to be reconnecting now,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">appears to be reconnecting now</p>"
Tom90245725,Tom,1063943493423230976,2018-11-17 23:54:30,/Tom90245725/status/1063943493423230976,0,0,0,"I unplugged it per the advice on the set,","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I unplugged it per the advice on the set,</p>"
Tom90245725,Tom,1063943406848626688,2018-11-17 23:54:09,/Tom90245725/status/1063943406848626688,0,0,0,"Hi, my primary Comcast DVR box stopped working","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hi, my primary Comcast DVR box stopped working</p>"
Tom90245725,Tom,1063942989213392897,2018-11-17 23:52:30,/Tom90245725/status/1063942989213392897,0,1,0,"@ComcastCares
#mobile_Care","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14104847"" dir=""ltr"" href=""/comcastcares""><s>@</s><b>ComcastCares</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mobile_Care?src=hash""><s>#</s><b>mobile_Care</b></a></p>"
MiSsKiTtY87057,ANDwhat,1063942264316145664,2018-11-17 23:49:37,/MiSsKiTtY87057/status/1063942264316145664,0,1,0,"@ComcastCares
#mobile_CareXI my internet won’t work","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14104847"" dir=""ltr"" href=""/comcastcares""><s>@</s><b>ComcastCares</b></a>
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mobile_CareXI?src=hash""><s>#</s><b>mobile_CareXI</b></a> my internet won’t work</p>"
samu3lk,Samuel K: Regular Elf,1063941681664483329,2018-11-17 23:47:18,/samu3lk/status/1063941681664483329,0,0,0,Radical. Also I'm not your customer and I've already got a response from you. Take note @Ask_Spectrum.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Radical. Also I'm not your customer and I've already got a response from you. Take note <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19638927"" dir=""ltr"" href=""/Ask_Spectrum""><s>@</s><b>Ask_Spectrum</b></a>.</p>"
Jen_Durham,Jen Durham,1063941596771696640,2018-11-17 23:46:58,/Jen_Durham/status/1063941596771696640,0,0,0,Dm sent,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Dm sent</p>"
samu3lk,Samuel K: Regular Elf,1063940763707457537,2018-11-17 23:43:39,/samu3lk/status/1063940763707457537,2,1,1,@Xfinity can you please offer service in my neighborhood? @Ask_Spectrum is completely fucking useless.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14996251"" dir=""ltr"" href=""/Xfinity""><s>@</s><b>Xfinity</b></a> can you please offer service in my neighborhood? <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19638927"" dir=""ltr"" href=""/Ask_Spectrum""><s>@</s><b>Ask_Spectrum</b></a> is completely fucking useless.</p>"
Jen_Durham,Jen Durham,1063939873097306113,2018-11-17 23:40:07,/Jen_Durham/status/1063939873097306113,0,1,0,@comcastcares - having a problem with one of the boxes tonight. Can someone please check it for me?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14104847"" dir=""ltr"" href=""/comcastcares""><s>@</s><b>comcastcares</b></a> - having a problem with one of the boxes tonight. Can someone please check it for me?</p>"
its_bobss,barb,1063938847367725057,2018-11-17 23:36:02,/its_bobss/status/1063938847367725057,0,1,0,@comcastcares what time do you plan on having your internet services back up?? I have homework to turn in ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14104847"" dir=""ltr"" href=""/comcastcares""><s>@</s><b>comcastcares</b></a> what time do you plan on having your internet services back up?? I have homework to turn in <img alt=""😡"" aria-label=""Emoji: Pouting face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f621.png"" title=""Pouting face""/><img alt=""😡"" aria-label=""Emoji: Pouting face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f621.png"" title=""Pouting face""/><img alt=""😡"" aria-label=""Emoji: Pouting face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f621.png"" title=""Pouting face""/><img alt=""😡"" aria-label=""Emoji: Pouting face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f621.png"" title=""Pouting face""/></p>"
ShaneMcmoto,Shane McLaughlin,1063938468739469312,2018-11-17 23:34:32,/ShaneMcmoto/status/1063938468739469312,0,1,0,@comcastcares our WiFi has been down for an hour have tried restarting it three times. Please help!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14104847"" dir=""ltr"" href=""/comcastcares""><s>@</s><b>comcastcares</b></a> our WiFi has been down for an hour have tried restarting it three times. Please help!</p>"
A_Dunkel,Anthony Dunkel,1063937588883525634,2018-11-17 23:31:02,/A_Dunkel/status/1063937588883525634,0,1,0,"@comcastcares Question... how come I can't tell my DVR to record a show through your channel guide phone app anymore? Always used to be a record option, but now it's gone :(","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14104847"" dir=""ltr"" href=""/comcastcares""><s>@</s><b>comcastcares</b></a> Question... how come I can't tell my DVR to record a show through your channel guide phone app anymore? Always used to be a record option, but now it's gone :(</p>"
SemperSev,Lisa  👢,1063936961826689025,2018-11-17 23:28:33,/SemperSev/status/1063936961826689025,0,1,0,"@comcastcares Pls fix the incorrect time in on-demand programs. Ie: Says a show is 45mins but plays til 50. If you exit & go back it takes you to next episode & you have to go back to ep list, resumes at wrong 45min mark, then youve gotta watch ads again cos can't FF.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14104847"" dir=""ltr"" href=""/comcastcares""><s>@</s><b>comcastcares</b></a> Pls fix the incorrect time in on-demand programs. Ie: Says a show is 45mins but plays til 50. If you exit &amp; go back it takes you to next episode &amp; you have to go back to ep list, resumes at wrong 45min mark, then youve gotta watch ads again cos can't FF.</p>"
