user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
bseessel,Brad Seessel,1063935794321285125,2018-11-17 23:23:54,/bseessel/status/1063935794321285125,0,1,0,@comcast service window is a joke. 3-5 they say....now they are saying 6:30. Hope I didn’t make a mistake leaving @DIRECTV,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> service window is a joke. 3-5 they say....now they are saying 6:30. Hope I didn’t make a mistake leaving <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14946736"" dir=""ltr"" href=""/DIRECTV""><s>@</s><b>DIRECTV</b></a></p>"
RignarsR,RignarsRoom,1063935258008186883,2018-11-17 23:21:47,/RignarsR/status/1063935258008186883,1,1,0,@comcast we were lied to and I have the transcript to prove it,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> we were lied to and I have the transcript to prove it</p>"
skitzodaboss,Skitzo da Boss,1063925817925881857,2018-11-17 22:44:16,/skitzodaboss/status/1063925817925881857,0,1,0,@comcast  comcast has the worst cost service called 10xs been dropped hung up on and they accidentally disconnected my cell service by far the worst company out there. I have asked for a supervisor 4xs and have been on hold over an hour,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a>  comcast has the worst cost service called 10xs been dropped hung up on and they accidentally disconnected my cell service by far the worst company out there. I have asked for a supervisor 4xs and have been on hold over an hour</p>"
I_LaceUp_30,T.J.  🏌🏻 ⛹🏻,1063925399741181952,2018-11-17 22:42:36,/I_LaceUp_30/status/1063925399741181952,0,1,0,@comcast Is tripping today,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> Is tripping today</p>"
prof_goldberg,Daniel Goldberg,1063923121743228933,2018-11-17 22:33:33,/prof_goldberg/status/1063923121743228933,0,1,0,"@comcast, your days are numbered in my household -- at 20, to be exact. Your prices are absurd, and your service is merely acceptable. Hello, Sling TV.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a>, your days are numbered in my household -- at 20, to be exact. Your prices are absurd, and your service is merely acceptable. Hello, Sling TV.</p>"
YaabariAjibade,Dr. Terri L. Jenkins,1063921596199550977,2018-11-17 22:27:29,/YaabariAjibade/status/1063921596199550977,0,0,0,@Comcast Corporation has announced that they will add two new black owned channels #AFRO and #CLEOTV to their lineup starting in January 2019.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>Comcast</b></a> Corporation has announced that they will add two new black owned channels <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AFRO?src=hash""><s>#</s><b>AFRO</b></a> and <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CLEOTV?src=hash""><s>#</s><b>CLEOTV</b></a> to their lineup starting in January 2019.</p>"
ForkliftJones,Forklift Jones,1063920977460031489,2018-11-17 22:25:02,/ForkliftJones/status/1063920977460031489,0,0,0,Lmao will there be shows involving black atheists? We need representation. Hopefully it won't be all praise and gaze.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Lmao will there be shows involving black atheists? We need representation. Hopefully it won't be all praise and gaze.</p>"
Fosterbas19,Eric Foster,1063920477079515137,2018-11-17 22:23:03,/Fosterbas19/status/1063920477079515137,0,1,0,@Comcast 2nd outage in 2 days. What gives?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>Comcast</b></a> 2nd outage in 2 days. What gives?</p>"
goldenxsky,sky,1063919233640259584,2018-11-17 22:18:06,/goldenxsky/status/1063919233640259584,0,1,0,@comcast is always having a WiFi outage  I want half off my bill this month.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> is always having a WiFi outage <img alt=""🚮"" aria-label=""Emoji: Put litter in its place symbol"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f6ae.png"" title=""Put litter in its place symbol""/> I want half off my bill this month.</p>"
redpaint01,Red Paint Spilman,1063916426233303043,2018-11-17 22:06:57,/redpaint01/status/1063916426233303043,0,1,0,@comcast Don't call me and tell me my service is fixed and then refuse to take my call when I try to call back and tell you it isn't. You can do better than that.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> Don't call me and tell me my service is fixed and then refuse to take my call when I try to call back and tell you it isn't. You can do better than that.</p>"
ThinkingLab1,Aime_Kouame-Kan,1063915584247611393,2018-11-17 22:03:36,/ThinkingLab1/status/1063915584247611393,0,0,0,I wanted to post my experience with Comcast (Philadelphia & Los Angeles) on Twitter but I am going to be very nice and just post the opposite feeling: Love Comcast !,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I wanted to post my experience with Comcast (Philadelphia &amp; Los Angeles) on Twitter but I am going to be very nice and just post the opposite feeling: Love Comcast <img alt=""❤️"" aria-label=""Emoji: Heavy red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Heavy red heart""/>!</p>"
TN_Williams,Tennessee Williams,1063915543634292743,2018-11-17 22:03:26,/TN_Williams/status/1063915543634292743,0,0,0,"@Comcast delivering Jimmy that crystal clear HD
#adhttps://twitter.com/jimmyhyams/status/1063914763451842561 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>Comcast</b></a> delivering Jimmy that crystal clear HD
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/ad?src=hash""><s>#</s><b>ad</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/jimmyhyams/status/1063914763451842561"" dir=""ltr"" href=""https://t.co/JfSxPmJmYj"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/jimmyhyams/status/1063914763451842561""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/jimmyhyams/sta</span><span class=""invisible"">tus/1063914763451842561</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
crushthebigots,Chief Resistance Officer,1063906740767547394,2018-11-17 21:28:28,/crushthebigots/status/1063906740767547394,0,0,0,@comcasthttps://twitter.com/AntiFashGordon/status/1062013328573296640 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/AntiFashGordon/status/1062013328573296640"" dir=""ltr"" href=""https://t.co/A5y6uwFjgX"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/AntiFashGordon/status/1062013328573296640""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/AntiFashGordon</span><span class=""invisible"">/status/1062013328573296640</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
Vanetti_for_3,CAV,1063900661757239297,2018-11-17 21:04:18,/Vanetti_for_3/status/1063900661757239297,0,2,0,"@comcast and @FOXSportsSouth are supposed to be broadcasting Virginia at @GeorgiaTech right now on my screens via cable and the internet, but both show a replay of a hockey postgame report from last night. This was how we were told to watch the game by your own networks. Wtf?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""89587925"" dir=""ltr"" href=""/comcast""><s>@</s><b>comcast</b></a> and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""22013467"" dir=""ltr"" href=""/FOXSportsSouth""><s>@</s><b>FOXSportsSouth</b></a> are supposed to be broadcasting Virginia at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""19080617"" dir=""ltr"" href=""/GeorgiaTech""><s>@</s><b>GeorgiaTech</b></a> right now on my screens via cable and the internet, but both show a replay of a hockey postgame report from last night. This was how we were told to watch the game by your own networks. Wtf?</p>"
