user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
formoftherapy,Form of Therapy,1063582486955868160,2018-11-16 23:59:59,/formoftherapy/status/1063582486955868160,2,1,0,"From my experience with reading up on K9 training and most shooters, it would be pretty difficult to shoot a dog. Dogs move incredibly fast and moving targets are really hard to shoot. Mind you this is against sidearms. Obviously an assault rifle would take it down easily.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">From my experience with reading up on K9 training and most shooters, it would be pretty difficult to shoot a <strong>dog</strong>. <strong>Dogs</strong> move incredibly fast and moving targets are really hard to shoot. Mind you this is against sidearms. Obviously an assault rifle would take it down easily.</p>"
roaring_dog,わんわん( 🌰),1063582486662238211,2018-11-16 23:59:59,/roaring_dog/status/1063582486662238211,0,0,0,Now 2018/Nov/17 09:00:00 +0900 24.74 degrees.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Now 2018/Nov/17 09:00:00 +0900 24.74 degrees.</p>"
dani_luka5,Danielle Rose,1063582485450244097,2018-11-16 23:59:59,/dani_luka5/status/1063582485450244097,9,0,0,I called my mom and asked how my dog was and she said don’t ever ask me to babysit her again and my grandma yelled in the background “Jesus Christ why what did I do?!”,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I called my mom and asked how my <strong>dog</strong> was and she said don’t ever ask me to babysit her again and my grandma yelled in the background “Jesus Christ why what did I do?!”</p>"
BlackDogFarm,Black Dog Farm,1063582485202653184,2018-11-16 23:59:59,/BlackDogFarm/status/1063582485202653184,0,0,0,"Wind 1.0 mph N. Barometer 30.309 in, Steady. Temperature 50.8 °F. Rain today 0.00 in. Humidity 97%","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Wind 1.0 mph N. Barometer 30.309 in, Steady. Temperature 50.8 °F. Rain today 0.00 in. Humidity 97%</p>"
applereimu,飛鳥 🍇,1063582480500908032,2018-11-16 23:59:58,/applereimu/status/1063582480500908032,0,1,0,全画面だとめっちゃﾐｽ出ない?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">全画面だとめっちゃﾐｽ出ない?</p>"
Bwagg4,dogs rock !,1063582478361780224,2018-11-16 23:59:57,/Bwagg4/status/1063582478361780224,3,1,0,"all you poor dogs locked up in dirty filthy dog pounds waiting 2 die & don't even know your about 2 be murdered all alone ? many of us are trying to help, WE LOVE YOU ! pic.twitter.com/0MqYZ1Y7uq","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">all you poor <strong>dogs</strong> locked up in dirty filthy <strong>dog</strong> pounds waiting 2 die &amp; don't even know your about 2 be murdered all alone ? many of us are trying to help, WE LOVE YOU ! <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/0MqYZ1Y7uq"">pic.twitter.com/0MqYZ1Y7uq</a></p>"
jakebarrettski,The Homie,1063582476616916993,2018-11-16 23:59:57,/jakebarrettski/status/1063582476616916993,1,0,1,Whenever my dog leaves the room I’m in https://twitter.com/arianagrande/status/1063564604339437568 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Whenever my <strong>dog</strong> leaves the room I’m in <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/arianagrande/status/1063564604339437568"" dir=""ltr"" href=""https://t.co/tw009rwWFU"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/arianagrande/status/1063564604339437568""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/arianagrande/s</span><span class=""invisible"">tatus/1063564604339437568</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
ali_allred,Ali Allred,1063582474280808449,2018-11-16 23:59:56,/ali_allred/status/1063582474280808449,9,1,0,Spanked my dog because he chased a car as I was telling him not to but then I felt bad after and cried. Is this what my future as a parent looks like? ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Spanked my <strong>dog</strong> because he chased a car as I was telling him not to but then I felt bad after and cried. Is this what my future as a parent looks like? <img alt=""😬"" aria-label=""Emoji: Grimacing face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62c.png"" title=""Grimacing face""/></p>"
zigzagman22,David Kelker,1063582471781081089,2018-11-16 23:59:56,/zigzagman22/status/1063582471781081089,0,0,0,In front of a Grand Jury or anothe Confressional Dog & Pony Circus https://twitter.com/NastromKenneth/status/1063577007865311233 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">In front of a Grand Jury or anothe Confressional <strong>Dog</strong> &amp; Pony Circus <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/NastromKenneth/status/1063577007865311233"" dir=""ltr"" href=""https://t.co/R2NSIlksrI"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/NastromKenneth/status/1063577007865311233""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/NastromKenneth</span><span class=""invisible"">/status/1063577007865311233</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
JeSuisDog,King Dog Of Britain,1063582469734244352,2018-11-16 23:59:55,/JeSuisDog/status/1063582469734244352,2,0,1,@naked_horses @MillwallFC @OfficialBHAFC @CelticFC @AberdeenFC @MotherwellFC @andyvblue @VeteransBritain @white_arrow_uk @whitford747 @Patwhitehouse01 @yjdhillhead @BritishAwake @PatrioticBrits,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><img alt=""👆"" aria-label=""Emoji: Up pointing backhand index"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f446.png"" title=""Up pointing backhand index""/><img alt=""👆"" aria-label=""Emoji: Up pointing backhand index"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f446.png"" title=""Up pointing backhand index""/><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3363751563"" dir=""ltr"" href=""/naked_horses""><s>@</s><b>naked_horses</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""218990507"" dir=""ltr"" href=""/MillwallFC""><s>@</s><b>MillwallFC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""57606154"" dir=""ltr"" href=""/OfficialBHAFC""><s>@</s><b>OfficialBHAFC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15203904"" dir=""ltr"" href=""/CelticFC""><s>@</s><b>CelticFC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""340308437"" dir=""ltr"" href=""/AberdeenFC""><s>@</s><b>AberdeenFC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""27919401"" dir=""ltr"" href=""/MotherwellFC""><s>@</s><b>MotherwellFC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2692125771"" dir=""ltr"" href=""/andyvblue""><s>@</s><b>andyvblue</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""700512166949089282"" dir=""ltr"" href=""/VeteransBritain""><s>@</s><b>VeteransBritain</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""875663233738313728"" dir=""ltr"" href=""/white_arrow_uk""><s>@</s><b>white_arrow_uk</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""352335305"" dir=""ltr"" href=""/whitford747""><s>@</s><b>whitford747</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""808377446512947200"" dir=""ltr"" href=""/Patwhitehouse01""><s>@</s><b>Patwhitehouse01</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""152333242"" dir=""ltr"" href=""/yjdhillhead""><s>@</s><b>yjdhillhead</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2885705823"" dir=""ltr"" href=""/BritishAwake""><s>@</s><b>BritishAwake</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""18924384"" dir=""ltr"" href=""/PatrioticBrits""><s>@</s><b>PatrioticBrits</b></a></p>"
