user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
whatever44ever,watermelon  🍉,649320029465382912,2015-09-30 20:28:53,/whatever44ever/status/649320029465382912,0,0,0,@Five_Guys you guys rock,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> you guys rock</p>"
darealcraigjoel,Craig Joel,649281388802371584,2015-09-30 17:55:20,/darealcraigjoel/status/649281388802371584,0,0,0,@Five_Guys five guys usa is better compared to the UK,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> five guys usa is better compared to the UK</p>"
Bayfilly,Rose Albrecht,649274025441628160,2015-09-30 17:26:05,/Bayfilly/status/649274025441628160,0,1,0,@Five_Guys #cleaningfail. Floor at Navy Yard store in DC is a greasy mess and employees are mad at the world.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/cleaningfail?src=hash""><s>#</s><b>cleaningfail</b></a>. Floor at Navy Yard store in DC is a greasy mess and employees are mad at the world.</p>"
SSBlueVegeta,0̷0̷ 𝘙𝘢𝘪𝘴𝘦𝘳 💥,649265951049936896,2015-09-30 16:54:00,/SSBlueVegeta/status/649265951049936896,0,1,0,@Five_Guys thank you for this amazing cheeseburger,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> thank you for this amazing cheeseburger</p>"
palanvinod,Vinod Palan,649232688486854657,2015-09-30 14:41:49,/palanvinod/status/649232688486854657,0,0,0,@Five_Guys should try adding this to menu http://www.epicurious.com/recipes/food/views/black-bean-burgers-351297 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> should try adding this to menu <a class=""twitter-timeline-link"" data-expanded-url=""http://www.epicurious.com/recipes/food/views/black-bean-burgers-351297"" dir=""ltr"" href=""http://t.co/rcHU3mpikS"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.epicurious.com/recipes/food/views/black-bean-burgers-351297""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">epicurious.com/recipes/food/v</span><span class=""invisible"">iews/black-bean-burgers-351297</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
icookiemobstai,Call me Cookie 🇵🇷,649228304713691136,2015-09-30 14:24:24,/icookiemobstai/status/649228304713691136,0,0,0,"@Five_Guys no,  thank you!","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> no,  thank you!</p>"
jack_ross231,Jack Ross,649222580004651008,2015-09-30 14:01:39,/jack_ross231/status/649222580004651008,0,0,0,@Five_Guys I can give you a piece of land in my back garden to speed up the process of finding a location!!!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> I can give you a piece of land in my back garden to speed up the process of finding a location!!!<img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/></p>"
jack_ross231,Jack Ross,649221398024617984,2015-09-30 13:56:57,/jack_ross231/status/649221398024617984,0,1,0,@Five_Guys any news yet on am Irish restaurant? Considering going back to the USA just for a five guys burger at this stage,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> any news yet on am Irish restaurant? Considering going back to the USA just for a five guys burger at this stage</p>"
Manuscz,Emmanuel Alejandro,649091631803707392,2015-09-30 05:21:19,/Manuscz/status/649091631803707392,0,0,0,@Five_Guys no hacen envíos internacionales  de papitas fritas?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> no hacen envíos internacionales  de papitas fritas?</p>"
l_morenoe,Luis M,649066150957944833,2015-09-30 03:40:04,/l_morenoe/status/649066150957944833,0,0,0,@Five_Guys Any updates on your Capitola location? I heard by month end but that’s tomorrow! :-/,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""519739516"" dir=""ltr"" href=""/Five_Guys""><s>@</s><b>Five_Guys</b></a> Any updates on your Capitola location? I heard by month end but that’s tomorrow! :-/</p>"
