user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
AllenHarkleroad, ⭐Allen Harkleroad ⭐️,918804798,2008-09-12 12:08:13,/AllenHarkleroad/status/918804798,0,0,0,@kfc_colonel McDonalds and Kentucky Fried Chicken Support Reckless Teen Sex on TV http://tinyurl.com/4dx9pe,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> McDonalds and Kentucky Fried Chicken Support Reckless Teen Sex on TV http://tinyurl.com/4dx9pe</p>"
DogwoodAlliance,Dogwood Alliance,22543790032,2010-08-30 17:49:09,/DogwoodAlliance/status/22543790032,0,0,0,@KFC_Colonel is cutting down #forests that are home to the native venus fly trap!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>KFC_Colonel</b></a> is cutting down <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/forests?src=hash""><s>#</s><b>forests</b></a> that are home to the native venus fly trap!</p>"
DogwoodAlliance,Dogwood Alliance,22282819002,2010-08-27 17:05:09,/DogwoodAlliance/status/22282819002,0,0,0,@kfc_colonel http://ow.ly/2vIRI please stop destroying the forests.  The kids are looking to you to be a leader.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> http://ow.ly/2vIRI please stop destroying the forests.  The kids are looking to you to be a leader.</p>"
spiffie6123,SPF  🌹,22279183765,2010-08-27 16:17:16,/spiffie6123/status/22279183765,0,0,0,@kfc_colonel The Skinwich is an idea whose time has come.  Make it happen!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> The Skinwich is an idea whose time has come.  Make it happen!</p>"
VeNGNCE,Mr. Ed,22222700154,2010-08-27 00:27:40,/VeNGNCE/status/22222700154,0,0,0,@kfc_colonel Potato wedge sunglasses! http://yfrog.com/mvutzj,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> Potato wedge sunglasses! http://yfrog.com/mvutzj</p>"
Rokashi,ʕ    •`ᴥ•´ʔ,22117711097,2010-08-25 20:38:48,/Rokashi/status/22117711097,0,0,0,@kfc_colonel yay!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> yay!</p>"
V12Shane,Shane,22117138388,2010-08-25 20:29:41,/V12Shane/status/22117138388,0,0,0,@kfc_colonel I'll have a drumstick for good luck,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> I'll have a drumstick for good luck</p>"
LisaBorden,Lisa Borden,22028916065,2010-08-24 20:32:34,/LisaBorden/status/22028916065,0,0,0,@kfc_colonel a surprise to you?! how could that be?!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> a surprise to you?! how could that be?!</p>"
LBD_Nytetrayn,David Oxford,22025840587,2010-08-24 19:41:22,/LBD_Nytetrayn/status/22025840587,0,0,0,@kfc_colonel ...skinwich?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""pl""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> ...skinwich?</p>"
_peachypeach,barbara rodriguez,22007774724,2010-08-24 15:09:13,/_peachypeach/status/22007774724,0,0,0,"@kfc_colonel that sucks! Someone ordered that on drive-thru last time, hahaha.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17075678"" dir=""ltr"" href=""/kfc_colonel""><s>@</s><b>kfc_colonel</b></a> that sucks! Someone ordered that on drive-thru last time, hahaha.</p>"
