user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
janettwokay,janettwokay,7410989277,2010-01-05 18:28:10,/janettwokay/status/7410989277,0,0,0,@McDonalds Just to eat more McD salads.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a> Just to eat more McD salads.</p>"
imjustdave,David J Hamilton,7410180124,2010-01-05 17:57:36,/imjustdave/status/7410180124,0,0,0,@McDonalds w/wordspit... shot me a DM when u get a sec,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a> w/wordspit... shot me a DM when u get a sec</p>"
_RonTheRuler,6,7409470464,2010-01-05 17:30:30,/_RonTheRuler/status/7409470464,0,0,0,@mcdonalds,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>mcdonalds</b></a></p>"
ducktape1,Jeremy Brent,7407409079,2010-01-05 16:14:56,/ducktape1/status/7407409079,0,0,0,@McDonalds ya eat more mcdonalds lol,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a> ya eat more mcdonalds lol</p>"
MrTrain_com,www.MrTrain.com (Dechant's RR Express),7407248520,2010-01-05 16:08:59,/MrTrain_com/status/7407248520,0,0,0,@McDonalds Lots of New Year resolutions for www.MrTrain.com. Sign up for our newsletter & let us know what YOU need for your train display!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a> Lots of New Year resolutions for www.MrTrain.com. Sign up for our newsletter &amp; let us know what YOU need for your train display!</p>"
AnnieMack1956,Ann McElhinney,7407112636,2010-01-05 16:04:02,/AnnieMack1956/status/7407112636,0,0,0,@McDonalds  My resolution is to resolve not to make any more resolutions!  Happy New Year!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a>  My resolution is to resolve not to make any more resolutions!  Happy New Year!</p>"
sghost42,Michael Diaz,7406276331,2010-01-05 15:33:25,/sghost42/status/7406276331,0,0,0,"@McDonalds Received my avatar prize pack yesterday, thanks looks forward to some mcd and the movie.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a> Received my avatar prize pack yesterday, thanks looks forward to some mcd and the movie.</p>"
dsmith124,Daniel Smith,7396102833,2010-01-05 06:59:44,/dsmith124/status/7396102833,0,0,0,@McDonalds I have to get more consistent with this... perhaps thats the issue with having rules against cell phones at work.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a> I have to get more consistent with this... perhaps thats the issue with having rules against cell phones at work.</p>"
Nateisdead,Nate Walsh,7388906440,2010-01-05 02:36:30,/Nateisdead/status/7388906440,0,0,0,"@mcdonalds is going to be pretty angry with me, but passing high school is a little bit more important than making minimum wage","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>mcdonalds</b></a> is going to be pretty angry with me, but passing high school is a little bit more important than making minimum wage</p>"
cuppycake,cuppycake,7385202612,2010-01-05 00:40:38,/cuppycake/status/7385202612,0,0,0,"@McDonalds McNugg-NUTS, for real! http://wp.me/pFMyI-1B","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""71026122"" dir=""ltr"" href=""/McDonalds""><s>@</s><b>McDonalds</b></a> McNugg-NUTS, for real! http://wp.me/pFMyI-1B</p>"
