user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
MODERNb0i,MODERNb0i,798526824,2008-04-28 07:26:03,/MODERNb0i/status/798526824,0,0,0,"@Taco_Bell with Miss J. I love the one near Rancho Santa Margarita Pkwy and Marguerite in Mission Viejo, CA. It's open late and it's clean","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""82460927"" dir=""ltr"" href=""/taco_bell""><s>@</s><b>Taco_Bell</b></a> with Miss J. I love the one near Rancho Santa Margarita Pkwy and Marguerite in Mission Viejo, CA. It's open late and it's clean</p>"
GinaoftheRavens,Gina Ravens,1515207465,2009-04-14 07:19:28,/GinaoftheRavens/status/1515207465,0,0,0,@Taco_Bell I'd love to. Bring Taco bell back to Britain!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""82460927"" dir=""ltr"" href=""/taco_bell""><s>@</s><b>Taco_Bell</b></a> I'd love to. Bring Taco bell back to Britain!</p>"
1wildhog,WildHog,1052995680,2008-12-12 07:48:33,/1wildhog/status/1052995680,0,0,0,@Taco_Bell I used to love Taco Bell but don't go there anymore since their ATM fee is more than 2 tacos! Why turn payment n2 profit center?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""82460927"" dir=""ltr"" href=""/taco_bell""><s>@</s><b>Taco_Bell</b></a> I used to love Taco Bell but don't go there anymore since their ATM fee is more than 2 tacos! Why turn payment n2 profit center?</p>"
snakeproof,Buttdog 69,971614606,2008-10-23 05:29:01,/snakeproof/status/971614606,0,0,0,"@taco_bell says ""Free Tacos For America! Go to Taco Bell on Tuesday, October 28, 2008 from 2pm to 6pm to get your FREE Crunchy Beef Taco.""","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""82460927"" dir=""ltr"" href=""/taco_bell""><s>@</s><b>taco_bell</b></a> says ""Free Tacos For America! Go to Taco Bell on Tuesday, October 28, 2008 from 2pm to 6pm to get your FREE Crunchy Beef Taco.""</p>"
Metiviayyy,SplashGod,22039154909,2010-08-24 23:08:15,/Metiviayyy/status/22039154909,0,0,0,@tacobell,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7831092"" dir=""ltr"" href=""/tacobell""><s>@</s><b>tacobell</b></a></p>"
televisms,Jessica Mercer,22037355489,2010-08-24 22:41:51,/televisms/status/22037355489,0,0,0,@TacoBell A little birdie told me you guys are going to start serving Breakfast. IS THIS TRUE?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7831092"" dir=""ltr"" href=""/tacobell""><s>@</s><b>TacoBell</b></a> A little birdie told me you guys are going to start serving Breakfast. IS THIS TRUE?</p>"
amandaxiola,Amanda Ramirez,22031922342,2010-08-24 21:20:23,/amandaxiola/status/22031922342,0,0,0,@TacoBell with my lovee,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7831092"" dir=""ltr"" href=""/tacobell""><s>@</s><b>TacoBell</b></a> with my lovee</p>"
SJ_PLD,P.,22025483186,2010-08-24 19:35:18,/SJ_PLD/status/22025483186,0,0,0,@tacobell is there still a salmonella outbreak!? on your veggies!?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7831092"" dir=""ltr"" href=""/tacobell""><s>@</s><b>tacobell</b></a> is there still a salmonella outbreak!? on your veggies!?</p>"
jordantastic,Jordan Weeks,22018377817,2010-08-24 17:38:13,/jordantastic/status/22018377817,0,0,0,"@TacoBell love your food, hate your advertising.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7831092"" dir=""ltr"" href=""/tacobell""><s>@</s><b>TacoBell</b></a> love your food, hate your advertising.</p>"
TheTPick,Little Miss Sunshine,22016920591,2010-08-24 17:15:40,/TheTPick/status/22016920591,0,0,0,@tacobell then wallmart,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""7831092"" dir=""ltr"" href=""/tacobell""><s>@</s><b>tacobell</b></a> then wallmart</p>"
