user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
Kappa_Julian,Julian [°|•],817521053400502272,2017-01-06 23:59:42,/Kappa_Julian/status/817521053400502272,0,0,0,@Wendys PLEASE I NEED A BIO HELP ME.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> PLEASE I NEED A BIO HELP ME.</p>"
dande_lehel,Lehel Dandé,817521048639983616,2017-01-06 23:59:41,/dande_lehel/status/817521048639983616,0,0,0,@Wendys closest restaurant to the UK? :D,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> closest restaurant to the UK? :D</p>"
iamDame,Dame,817521043464142848,2017-01-06 23:59:40,/iamDame/status/817521043464142848,0,0,0,@Wendys I'm a No Limit.....,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> I'm a No Limit.....</p>"
notvat,notVat;++*,817521015081181184,2017-01-06 23:59:33,/notvat/status/817521015081181184,0,0,0,@Wendys Is this the krusty krab?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> Is this the krusty krab?</p>"
xSuperHotSteel,Sam,817520957560537089,2017-01-06 23:59:19,/xSuperHotSteel/status/817520957560537089,0,0,0,@Wendys what's the best Big Mac at Wendy's ?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> what's the best Big Mac at Wendy's ?</p>"
LGraffagna,Stan Lee,817520949461450752,2017-01-06 23:59:17,/LGraffagna/status/817520949461450752,0,0,0,@Wendys your burgers are great,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> your burgers are great</p>"
TonioOnTheTwit, ❌Burnt Out ❌,817520914799525889,2017-01-06 23:59:09,/TonioOnTheTwit/status/817520914799525889,0,0,0,@Wendys Roast me!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> Roast me!</p>"
ItsMazeHere,ItsMazeHere,817520892213338112,2017-01-06 23:59:04,/ItsMazeHere/status/817520892213338112,1,0,0,@Wendys What is better? Burger King chicken nuggets? Or McDonald's nuggets?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> What is better? Burger King chicken nuggets? Or McDonald's nuggets?</p>"
MCNX24,CallieIsAway,817520798793662464,2017-01-06 23:58:41,/MCNX24/status/817520798793662464,0,0,0,@Wendys I would like a Baconator no mustard ummmm along with a medium sized Coke uhhhh Can I also have 2 small frosties wait make that 2 thx,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> I would like a Baconator no mustard ummmm along with a medium sized Coke uhhhh Can I also have 2 small frosties wait make that 2 thx</p>"
VickityVickers,Josh Vickers,817520790195171328,2017-01-06 23:58:39,/VickityVickers/status/817520790195171328,0,0,0,@Wendys frosties are good but @DairyQueen has you beat with the blizzard,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> frosties are good but <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""21659166"" dir=""ltr"" href=""/DairyQueen""><s>@</s><b>DairyQueen</b></a> has you beat with the blizzard</p>"
BenLW_15,ben from wendys,817520783358627840,2017-01-06 23:58:38,/BenLW_15/status/817520783358627840,1,0,0,@Wendys we are one and i am in you. ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> we are one and i am in you. <img alt=""❤"" aria-label=""Emoji: Heavy red heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" title=""Heavy red heart""/></p>"
davidjspatz,David Spatz,817520747765788672,2017-01-06 23:58:29,/davidjspatz/status/817520747765788672,0,0,0,@Wendys pretty sad to hear how ur employees would not serve a policeman. Sad. Hope they get fired. Will b going other places if they're not.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> pretty sad to hear how ur employees would not serve a policeman. Sad. Hope they get fired. Will b going other places if they're not.</p>"
loft_amusprime,James Loftus,817520726597111809,2017-01-06 23:58:24,/loft_amusprime/status/817520726597111809,0,0,0,@Wendys is this the krusty crab?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> is this the krusty crab?</p>"
viper_Karan,Karan,817520710948163586,2017-01-06 23:58:20,/viper_Karan/status/817520710948163586,0,0,0,@Wendys I bet $1 you will read this.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""59553554"" dir=""ltr"" href=""/Wendys""><s>@</s><b>Wendys</b></a> I bet $1 you will read this.</p>"
